,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
14,14,"[-955.320118089969, -357.98540426407874]",210.0746819541276,"['65525278', '65528782', '65559217', '65565059', '65565064', '65658619', '2674894514', '4178848053', '4295590234', '4295590236', '4295590238', '4295590239', '4295590241', '4295590242', '4295590244', '4295590245', '4295590247', '4295590253', '4295590254', '4295590255', '4295590256', '4295590257', '4295590258', '4295590259', '4295590260', '4295590272', '4295590273', '4295590274', '4295590288', '4295590289', '4295590297', '4295590299', '4295590306', '4295590310', '4295590318', '6282025812', '6459925093', '6459925109', '6474223251', '6474223254', '6474223256']",41
15,15,"[631.2640953623401, -706.1979887207029]",210.5245450185689,"['65511122', '65511125', '65539580', '65539585', '65556654', '65662175', '65675373', '65675375', '256558437', '256558438', '256558468', '256568832', '256568846', '287480632', '287980668', '340333103', '340333268', '340333270', '354801007', '518824010', '2571160864', '2571160870', '2571160871', '2571160872', '2571160873', '2571160874', '2571160875', '2571160876', '2571160880', '2572379124', '2572379130', '2572379131', '2674894492', '3316594110', '3404860831', '3404860832', '3404860835', '5555812015', '5555999888', '6212884661', '6212885401', '6917973013', '6917973014']",43
16,16,"[-637.604477463587, -174.37212805088052]",211.98947073259862,"['65559205', '65565068', '65598495', '65598497', '340331999', '522263516', '689475473', '2054042522', '2217384936', '2411555343', '2572379209', '2572379211', '2572379212', '2572379215', '2572526524', '2572526529', '2572526533', '2572526535', '2572526539', '2572526541', '2572526543', '2572526548', '2572526550', '2572526552', '2572526554', '3124723316', '3124723319', '3124723320', '3124723321', '4675013242', '4913257358', '4913257361', '4913257363', '4913257368', '4913257369', '4913257374', '5555953354', '5555953356', '5676638013', '6319568651', '6319568653']",41
17,17,"[-610.774552777252, 105.58233519558274]",209.4050761786347,"['65545431', '65559188', '65559198', '65559205', '65559212', '65598495', '689475473', '1707961571', '1707961572', '1707961574', '1707961578', '1758054040', '2572526539', '2572526541', '2572526543', '2572526548', '2572526550', '2572526552', '2572526554', '2574077098', '2733190240', '2986710323', '5714340749']",23
18,18,"[-293.13288494982794, -1182.988648537008]",210.50048064064615,"['65556600', '65566209', '93412379', '93412380', '287476735', '287476746', '287476747', '287476762', '288214364', '522187230', '522187243', '522188960', '522188983', '522188986', '1257080792', '1257080880', '1257080968', '5215656010', '5215656012', '6407637005', '7133218464']",21
19,19,"[1255.2729170614484, -163.94029808356385]",208.37814661449562,"['65566622', '4912961659', '4912961662', '4912961668', '4912961669', '4912961671', '4912961672', '4912961673', '4912961678', '4912961680', '4912961681', '4912961682', '4912961683', '4912961685', '4912961686', '4912961687', '6107055087', '6108013635', '6108013638', '6292240725', '6292251810', '6292251811', '6293420761', '6316668219', '7730973334', '8221843041', '8221843046', '9384053316', '9384055059', '9384055070']",30
20,20,"[729.7667456520732, 710.301965536634]",201.30742787772763,"['65546899', '256568778', '256568779', '338518152', '338518155', '338518161', '338518162', '663153661', '663153663', '847469085', '847469103', '847469105', '847469108', '847469304', '847469449', '1083735850', '1434767658', '1434767660', '1434767686', '1434767708', '2923646863', '4835455171', '4886811310', '5691107533', '5718661819', '6113747124', '6308631172', '6308631174', '6308631178', '6308634385', '6308634386', '6308634388', '6308634392', '6541218040', '6541218042', '6541218050', '6661724382', '7129243096', '7849178193', '7849178195', '7849178198', '7849178201', '7849178209', '7849178211', '8910447826', '8910447827']",46
21,21,"[850.7726340391248, -698.8854313314307]",210.5988855341823,"['65556629', '65556664', '65662175', '65675373', '65675375', '256568846', '287980668', '689534772', '2571160864', '2571160870', '2571160871', '2571160872', '2571160873', '2571160874', '2572379124', '2572379130', '2572379131', '2674894509', '3088430466', '3088430470', '3088430472', '3088430474', '3088430476', '4192544209', '4192544212', '4192544218', '4192547123', '4192547124', '4192548279', '4192548281', '4192548285', '6212885401', '7324331499', '10182457693']",34
22,22,"[-900.328213709133, 271.00744634843716]",202.00415509163054,"['65545423', '65545427', '65545447', '65665823', '65665828', '65683555', '1330035207', '2574077047', '2574077049', '2574077050', '2574077053', '2574077054', '2574077057', '2574077065', '2574077068', '2574077070', '2574077071', '2574077074', '2574077075', '2574077076', '2574077077', '2574077078', '2574077079', '2574077082', '2733190241', '2733190242', '6318792955', '6460227540', '6460227542', '6460228514', '6460228519', '7131527008', '7131527009', '7131527010', '7870980838', '7870980847', '7941128442', '7941128443']",38
23,23,"[-569.8900114657985, -512.1269252458005]",209.88541472958363,"['65511794', '65525280', '65565228', '462443355', '522263516', '1782361535', '1782361541', '2411555343', '2572379211', '2572379212', '3406414995', '3406437902', '3406437906', '3406437907', '4630676974', '4933019562', '5206902980', '5555953371', '5555953376', '5555953377', '5676638013', '5933366061', '7848527013', '8519693248', '8519693249', '8519693252']",26
24,24,"[8.841829627894434, 194.34460613112049]",210.49204729442545,"['65473412', '65562618', '65629821', '65644363', '65682573', '256568638', '314070856', '340316006', '354784526', '354785189', '522173590', '522173601', '847423929', '2572526618', '2572526625', '2572526631', '3210187960', '3752867384', '3752867386', '3752867387', '6239344442', '6407657036', '6412799444', '6412799445', '6412799450', '6412799451', '6476777592', '6574133571', '6574133573', '6574133574', '9930620471']",31
25,25,"[427.76744080805395, -140.252318373516]",210.17764616081035,"['65427080', '65473421', '275515667', '612018100', '1256091855', '1256091856', '1330035211', '2572379134', '2572379135', '2572379138', '5774153155', '5774153157', '5774153159', '5852624909', '5852624910']",15
26,26,"[-288.6758185551087, 655.0296763393042]",210.60829296840666,"['314070873', '314071064', '314071201', '314071202', '522262600', '522262630', '847436737', '847439433', '1111928975', '1111929038', '1111929066', '1111929069', '1111929081', '1111929162', '1111929178', '1111929182', '1758054044', '1758054068', '2393501810', '2393501814', '2572526648', '2572526650', '2572526654', '2572526655', '2572526657', '2572526659', '2572526661', '2572526663', '2572526665', '4178848063', '4178848064', '4913255757', '4913255762', '4913255765', '4913255766', '4913255770', '4913255790', '4913255791', '4913255792', '4913255793', '4913255796', '4913255798', '4913255808', '4913255809', '5326408964', '6443368814', '6443368816', '6443368819', '6443368821', '6443368824', '6443368828', '6443368830', '6575641456', '7940746710', '7940746711', '7940864980', '9490940700']",57
27,27,"[301.64663424969604, -793.310820960834]",210.513165922507,"['65510924', '65511047', '65539580', '65556607', '256558438', '256558465', '256566854', '256566999', '956660455', '956660456', '1782352097', '2392411733', '2392411736', '2392411739', '2572379152', '2572379155', '4742673730', '4742673732', '4742673737', '5555811978', '5555812015', '6917973013', '6917973014', '7058931008', '7058931013', '7058931014', '7058931017', '8910620729']",28
