,location,Radius,covered_nodes,Total_nodes_covered
0,"[428.43293950041675, 348.25906427606094]",145.39096581057626,"['667357367', '4348259327', '4348259328', '4348259330', '4348259331', '5882320075']",6
1,"[-611.4822052255466, 296.3442002860135]",164.86901999001293,"['2081722939', '4348259319', '4348259324', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",9
2,"[222.0030217433771, 485.9794168623969]",141.270679155514,"['668612331', '668672704', '4348265099', '4348265101', '4348265105', '4348265107', '5584937649', '5584937650', '6573701524']",9
3,"[130.4658807051112, -24.518793195910774]",158.45300671222068,"['668672700', '5077600694', '6583550560', '6583550562']",4
4,"[304.79247352616585, 748.2511142316846]",142.3223771294768,"['668612391', '4348265098', '9169143592']",3
5,"[487.2328863684005, -198.08843530540327]",169.70328557585663,"['667357382', '667357385', '3215340463', '3215340464', '5366445105', '6568909594', '8675266535']",7
6,"[331.2240834369899, -689.740283915341]",177.6747707015824,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6495983060', '6627410440', '6627410442']",13
7,"[548.5220612481061, 476.5502193351928]",154.06302344663956,"['667357419', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259341', '7265460758']",14
8,"[254.70307309672242, -387.3569678011749]",177.3326132337663,"['667357317', '667357318', '667357325', '668699249', '5879215642', '5879215643', '6568909593', '6568909594', '6568909609', '6573854574', '8666700466']",11
9,"[345.71165300715523, 65.37946857929091]",150.57946053515488,"['667357352', '668620092', '2055461156', '5077600694', '6785961658', '7147944038', '7147944044', '7147944046']",8
10,"[88.87878334550993, 598.0070732453347]",144.31922762369882,"['4348265105', '4348265107', '6573701501', '6573701505']",4
11,"[490.291167935623, -525.9487425852129]",178.899157861772,"['667357368', '667357382', '667357385', '668685375', '668699249', '5879215641', '5879215642', '5879215643']",8
12,"[704.27747043922, 197.8031847468994]",169.36217179969796,"['667357403', '667357405', '667357409', '667357412', '667357415', '667357416', '4348259340']",7
13,"[69.10710479393367, -654.9824276251478]",171.00806149087538,"['668699237', '6435688924', '6495983060']",3
14,"[574.7241926110287, 771.927676241885]",146.04768189412013,"['6786321690', '6786321691']",2
15,"[250.90111788704502, 212.8920075976307]",149.447680384786,"['668620092', '5366445082', '5366445083', '7147944044', '7147944046']",5
16,"[-2.533085887277096, 218.64769520070473]",152.42227046254604,"['4642960968', '5366445092', '5366445093']",3
17,"[64.18011124502313, 388.57377672086824]",139.06630897348393,"['4642960968', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650']",7
18,"[-94.22652279552966, 155.78477160887903]",156.1026119234677,"['245674992', '668672574', '4348259295']",3
19,"[351.0039367005484, 498.8546919890435]",140.57656599934379,"['667357421', '668612331', '1990860599', '4348259329', '4348259330', '4348265099', '4348265101', '6573701524']",8
20,"[700.479313443082, -389.3387383971718]",180.24035133442953,"['667357383', '667357387', '668660560', '668685375', '668685380', '5879215623', '5879215625', '5879215634']",8
21,"[449.1238178736772, 741.9737568745396]",145.36940723822582,['6786321691'],1
22,"[553.9862038973149, 186.4295432754892]",163.84814405685037,"['667357409', '667357412', '4369058864', '5882320075', '6785961623']",5
23,"[625.0025773553087, -79.01704275664656]",173.94831043133038,"['667357392', '667357401', '667357403', '667357405', '667357407', '6576461331', '6785961623', '8675266535']",8
24,"[-147.90055554229866, 450.8650087990588]",151.8521193101996,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259297', '4348259298', '6571330021']",8
25,"[-190.41361495618986, -806.8297541934421]",165.96249872820823,"['668699188', '668699193', '668699199', '668699242']",4
26,"[647.9890858071489, 511.8913943173845]",155.45184873304905,"['667357419', '4348259325', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259341', '7265460758', '9169143586']",10
27,"[130.31685056172162, -873.1344658747214]",172.70609876565993,"['668699237', '6435688923', '6435688924', '6627410440', '6627410442']",5
28,"[-310.368174604827, 335.7308211405616]",158.79717912056628,"['668478124', '4348259294', '4348259295', '5280437313', '5280437314', '6571330021', '6571330022', '6571330023', '7265473766']",9
29,"[288.33398114272836, -147.37763810521022]",168.12361115124577,"['667357326', '3215340463', '3215340464', '5077600694', '6568909593', '6568909594', '6568909595', '6573854574']",8
