,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[1563.8266922312494, 908.6823402597572]",228.91388713383984,['268789875'],1
1,2,"[229.55128540719613, 312.65301156350074]",236.08724922208074,['330780901'],1
2,3,"[1558.9593366747638, 184.86360070134145]",232.5049634646283,"['1515242053', '275676979', '275676982', '330654081', '330654083', '330654123', '330654139']",7
3,4,"[1140.4659743495204, 1046.1141361811026]",230.76988162642618,"['268789875', '268789999', '268790000', '330612289', '3371735080']",5
4,5,"[1980.4696365932627, 2191.2172243590862]",218.89476864898108,"['268789836', '268789877', '268789942', '268789959', '3248845375']",5
5,6,"[1723.0045518201173, 1415.376875395112]",225.68195430250492,"['268789882', '268789950', '268789954', '268789961']",4
6,7,"[764.5874195745267, 784.1716538724405]",233.95689589095215,['268790010'],1
7,8,"[955.3374487585131, 487.6905507596796]",234.4161927337965,"['275675441', '330653353']",2
8,9,"[1139.7579520218026, 197.6459907148737]",233.8150519463134,"['2164168433', '2164168455', '2167078769', '2167078770', '2167078771', '2167078772', '275675441', '275676975', '3098974997', '330654038']",10
9,10,"[1817.4836066742118, 1804.4250964685366]",221.52797289502792,['268789961'],1
10,12,"[511.4070147431527, 463.93743871963346]",236.41539725329935,['330648048'],1
11,13,"[1189.053762297373, 800.6855252928297]",228.68129182122613,"['2166694752', '268789969', '268789971', '268789973', '268789976', '330653353', '3371735080']",7
12,14,"[1394.9197873023172, 520.0685184702696]",232.1873406815601,"['2166694724', '2166703022', '330653384']",3
