,location,Radius,covered_nodes,Total_nodes_covered
0,"[1811.4976541948536, 464.172918915104]",186.70829829428368,"['2102480800', '2102480801', '2102480803', '2102480805', '2102480808', '4233524618', '4233524619', '4233524620', '4233524625', '4233524646', '4233524653', '4233524659', '4233524667', '4233654546', '4233654565', '9186411589']",16
2,"[511.2261784892169, 492.00572189477896]",146.85211908332047,"['3635907914', '4233524645', '4233524652', '4233654616', '4233654625', '9835164854', '9835164855']",7
3,"[360.89415700805495, 868.0783445739069]",144.96310613410952,"['301037253', '4233527053', '9835218071']",3
5,"[563.9550373808993, 975.7039091732902]",147.9954270376514,"['301037254', '3055043752', '4233527053', '4233527073', '4233527074', '4233527081', '4233527085', '473651125', '4999072804', '4999072807', '4999072808', '4999072816', '4999072817', '564483496', '564483517', '6758737650', '6758737653', '9835228889']",18
6,"[781.2760068789055, 509.4802517028505]",159.35128102372215,"['4233654621', '4233654625', '9874250264']",3
7,"[204.54116338103927, 456.2007694528426]",134.92344691699373,"['3635907923', '3635907929', '4233524630', '4233524636', '4233524637', '4233524639', '4233524641', '4233524647', '4233524648', '4233524655', '4233524657', '564483317', '9835190659', '9835190693']",14
8,"[718.2022922227485, 802.9067176205706]",152.34456057041217,"['3055043750', '3055043751', '3178456078', '4233527006', '4233527008', '4233527014', '4233527016', '4233527017', '4233527018', '4233527019', '4233527020', '4233527021', '4233527022', '4233527043', '4233527044', '4233527045', '5251925075', '6758737650', '9865522290']",19
9,"[1593.1888211692728, 376.50127652574906]",185.5807494125579,"['2102480576', '2102480797', '2102480803', '4233524611', '4233524615', '4233524616', '4233524617', '4233524619', '4233524620', '4233524625', '4233654500', '4233654504', '4233654506', '4233654517', '4233654546', '4233654563', '9852876993']",17
10,"[568.9137368812796, 706.2143251829084]",149.68489931763176,"['301037252', '3055043750', '3055043751', '3636985386', '3636985389', '4233527012', '564483459', '564483461', '564483463']",9
11,"[314.6693789698008, 673.3792544467789]",143.11901591328683,"['301037255', '3635907904', '3636985377', '3636985378', '3636985385', '4233524652', '4233524656', '4233524657', '4233524660', '4233524665', '4233524684', '564483317', '6380513447']",13
12,"[327.1901816756164, 409.7492273624735]",140.965660064158,"['3635907930', '3635907938', '4233524626', '4233524630', '4233524633', '4233524637', '4233524638', '4233524644', '4233524647', '4233654570', '9835164855', '9835190695']",12
13,"[1910.4299159298223, 182.04395795715052]",186.83060767297772,"['2102480543', '2102480799', '4233524596', '4233524600', '4233524604', '4233524606', '4233524607', '4233524608', '4233524610', '4233654430', '4233654439', '4233654446', '4233654465', '4233654488', '4233654501', '4233654507', '4233654514', '4233654533', '4233654536', '4233654565', '9186411596']",21
14,"[1359.7061978420952, 228.53992385541733]",180.72515319552076,"['2102480576', '4233654441', '4233654463', '4233654478', '4233654485', '4233654504', '4233654516', '4233654523', '9852876993']",9
15,"[129.3831234289538, 621.9183890580955]",134.33348777385723,"['3635907910', '3635907923', '3636985378', '4233524639', '4233524641', '4233524648', '4233524655', '4233524665', '5034101924', '6095495876', '9835190696', '9835190697']",12
16,"[1695.9634571668744, 103.1301442460786]",184.89278916990935,"['2102480543', '4233524597', '4233524600', '4233524607', '4233654430', '4233654439', '4233654446', '4233654465', '4233654471', '4233654488', '4233654500', '4233654517', '9186411596']",13
