,location,Radius,covered_nodes,Total_nodes_covered
0,"[-478.7419471552977, 221.06686762370478]",134.83732396900842,"['301037252', '564483459', '564483461', '564483463', '3636985386', '3636985389', '4233527012', '6758737650', '6758737653']",9
1,"[44.6558374100617, -30.024563676190176]",135.97291259059708,"['301037251', '301037262', '5253345429', '6095470542', '6095470546', '9867267941', '10030780559', '10030780565', '10030780566', '10030780571', '10049647636', '10049647640']",12
2,"[770.4262660667217, -449.801724386793]",107.69894488005605,"['2102480543', '4233524596', '4233524597', '4233524600', '4233524604', '4233524607', '4233654430', '4233654439', '4233654446', '9186411596']",10
3,"[128.41686330741553, -237.00017034823978]",135.95894556791666,"['4233654516', '4233654523', '9865511067', '10030780645']",4
4,"[-440.76473906018117, 408.20995434017163]",134.8931614973467,"['473651125', '3055043752', '3178456078', '4233527073', '4233527081', '4999072804', '4999072807', '4999072808', '4999072816', '4999072817', '6758737650', '6758737653', '9835228889']",13
5,"[768.929816214355, -148.7339211883093]",130.76415270046155,"['2102480800', '2102480803', '4233524618', '4233524619', '4233524625', '4233654533', '4233654535', '4233654546', '4233654551', '4233654565', '9186411589']",11
6,"[270.7074528430737, -107.3604595543434]",126.89127810124087,"['301037251', '3636291416', '3636291419', '3636291422', '5006266347', '5006266348', '6657266347', '9865685167', '9867231161']",9
7,"[256.2660345556309, 56.859191584913354]",131.80948744554576,"['3636291419', '3636291422', '5006266348', '6657266347', '9867211682', '10030780617', '10049616472', '10049616475']",8
8,"[-708.5018623133872, -133.17995264014743]",139.25921015565157,"['3635907930', '4233524626', '4233524630', '4233524633', '4233524637', '4233524638', '4233524644', '4233524647', '4233654570', '4233654579', '9835164855', '10030780660']",12
9,"[-857.4490389388856, -177.92088986105784]",139.32582405610182,"['3635907929', '3635907930', '3635907938', '4233524630', '4233524636', '4233524639', '9835170475', '9835190659', '9835190693', '10030780660']",10
10,"[-117.62427875705546, -200.0963176310184]",137.4279966711975,"['9865511053', '9865731843', '9865731851', '10030780565']",4
11,"[-673.9981956134914, 240.19229195660586]",137.8816631988178,"['301037253', '301037255', '4233524684', '4999014151', '4999014152', '4999072803', '10049590718', '10049590721']",8
12,"[-771.7786594955861, 87.38467613973557]",139.18955274275493,"['301037255', '564483317', '3635907904', '3635907910', '3636985377', '3636985378', '3636985385', '4233524637', '4233524644', '4233524647', '4233524648', '4233524652', '4233524655', '4233524656', '4233524657', '4233524660', '4233524665', '4233524684', '6380513447', '9835190696', '9835190697']",21
13,"[-265.4332977636942, 264.6360585031131]",138.193271231426,"['3055043750', '3178456078', '4233527006', '4233527008', '4233527014', '4233527016', '4233527017', '4233527018', '4233527019', '4233527020', '4233527021', '4233527022', '4233527043', '4233527044', '4233527045', '5251925075', '9865522290', '10030782400', '10030782410']",19
14,"[-526.8834960368068, 19.746774104425334]",139.03093171228016,"['3635907914', '3636985389', '4233524645', '4233524652', '4999014151', '9835164854', '10030780659', '10049605855', '10049766940', '10049766941']",10
15,"[589.5593628589376, -195.98867453816948]",127.00574417221205,"['2102480797', '4233524611', '4233524615', '4233524616', '4233524617', '4233524619', '4233524620', '4233654517', '4233654546', '4233654563', '9865685166', '10049664267']",12
16,"[-321.52954516824207, 32.61813735918979]",139.3584308960326,"['3055043751', '4233524645', '9835121155', '9835121159', '9874250264', '10030782395', '10049605855', '10049766940', '10049766941']",9
17,"[-927.3183533228423, 39.389261266551635]",139.49921504151368,"['3635907910', '3635907923', '3636985378', '4233524636', '4233524639', '4233524641', '4233524648', '4233524655', '4233524665', '6095495876', '9835170457', '9835170466', '9835170474', '9835170489', '9835170498', '9835190696', '9835190697', '9835210428', '9835210429', '10049590723']",20
18,"[370.68491305503585, -280.9058729529239]",132.01258053075193,"['2102480576', '4233654463', '4233654478', '4233654485', '4233654504', '9852876993']",6
19,"[793.0566357243965, -329.8008832232979]",129.68397168738224,"['2102480543', '4233524600', '4233524604', '4233524606', '4233524607', '4233524608', '4233524610', '4233654439', '4233654446', '4233654465', '4233654488', '4233654501', '4233654507', '4233654514', '4233654533', '4233654535', '4233654536', '4233654551', '4233654565', '9186411596', '10049664258', '10049664259']",22
20,"[-603.3626102743582, 452.4098332368536]",136.53184375529474,"['301037254', '473651125', '564483496', '564483517', '4233527053', '4233527073', '4233527074', '4233527085', '4999072803', '4999072816', '9835218071', '10049646662']",12
21,"[870.549552176782, -211.25315642892826]",136.61235759479632,"['2102480799', '2102480800', '2102480801', '4233524608', '4233524610', '4233524618', '4233654501', '4233654507', '4233654514', '4233654536', '4233654551', '4233654565', '9186411589', '10049664258', '10049664259']",15
22,"[562.268808440074, -345.4789407127197]",128.1622170234509,"['2102480576', '2102480797', '4233524611', '4233654441', '4233654471', '4233654485', '4233654500', '4233654506', '4233654517']",9
23,"[-85.5133071640613, 130.6134133951215]",138.9983325289905,"['301037265', '4233524666', '6095470546', '10030780559', '10030782400', '10049646688']",6
24,"[474.052740384975, -58.063905116341346]",128.87093220044707,"['2800415501', '2800415517', '2800415522', '4233524661', '5006266354', '5548736264', '5548736265', '5548736268', '5548736271', '9186468977', '10049664267']",11
25,"[787.2810456718803, -3.247797646822157]",131.5807431953165,"['2102480808', '4233524646', '4233524653', '4233524659', '4233524667']",5
