,location,Radius,covered_nodes,Total_nodes_covered
0,"[40.65982305677608, 600.7900164444]",300.1243632898211,"['667357348', '667357359', '667357361', '668612331', '668612391', '668672699', '4348259297', '4348259298', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524']",22
1,"[615.075370841485, 742.2591092386283]",270.0470117210444,"['1990860599', '1990860600', '4348259325', '4348259333', '6786321690', '6786321691']",6
2,"[420.00676390889566, 874.5299410359003]",261.685499663324,"['668612391', '6786321690', '6786321691', '9169143592']",4
3,"[37.770099882976766, -148.140977943704]",321.1695901599736,"['667357318', '667357326', '668672700', '3215340463', '5077600694', '6568909593', '6568909595', '6573854574', '6583550560', '6583550562', '8666700466']",11
4,"[-637.243019018628, 316.7966188437139]",276.12304123951907,"['2081722939', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",11
5,"[608.3147446045716, -353.6086524096628]",315.33425556673586,"['667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '667357392', '668660560', '668685375', '668685380', '668699249', '3215340464', '5366445105', '5879215623', '5879215625', '5879215634', '5879215642', '5879215643', '6568909594', '6576461331', '8675266535']",21
6,"[282.12576452573643, 320.43341426018605]",298.67478738343874,"['667357367', '667357421', '668612331', '668620092', '668672704', '1990860599', '2055461156', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348265099', '4348265101', '4348265105', '4348265107', '4369058864', '4642960968', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '5882320075', '6573701524', '7147944044', '7147944046']",30
7,"[369.47183990921206, -646.0985186989062]",334.04650413604946,"['667357309', '667357310', '667357311', '667357317', '667357318', '667357325', '667357368', '667357382', '667357385', '668660548', '668660552', '668685375', '668699237', '668699249', '5366445105', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6435688924', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442', '8666700466']",29
8,"[613.8722989140415, -63.34827586078801]",308.9772235239063,"['667357352', '667357383', '667357385', '667357387', '667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357415', '667357416', '668685380', '2055461156', '3215340463', '3215340464', '4369058864', '6568909595', '6576461331', '6785961623', '6785961658', '7147944038', '8675266535']",23
9,"[-104.97053718677012, -874.2136857701257]",355.512676589043,"['668699188', '668699193', '668699199', '668699237', '668699242', '6435688923', '6435688924', '6627410442']",8
10,"[624.4365683770717, 335.464984490036]",284.35452251824074,"['667357367', '667357405', '667357409', '667357412', '667357415', '667357416', '667357419', '4348259325', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4369058864', '5882320075', '7265460758', '9169143586']",22
11,"[-237.48948048602324, 293.1712613007985]",310.79755868853573,"['245674992', '667357348', '667357359', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '4348259324', '5280437313', '5280437314', '5280438428', '5366445091', '5366445092', '5366445093', '6571330021', '6571330022', '6571330023', '7265473766']",22
