,location,Radius,covered_nodes,Total_nodes_covered
0,"[108.89988333604592, -841.4686510780166]",126.60658097279884,"['668699237', '6435688923', '6435688924', '6627410442']",4
1,"[681.0977382664498, -54.9095069793231]",146.0545593259412,"['667357392', '667357401', '667357403', '667357405', '667357407', '6576461331']",6
2,"[619.6699065892309, 685.2066398976334]",145.84254342573422,['6786321691'],1
4,"[210.07509119089275, 411.5495042600562]",137.33360123441798,"['668672704', '4348265101', '4348265107', '5366445082', '5366445085', '5584937649', '5584937650', '6573701524']",8
5,"[499.21765458034764, 847.8961634343807]",145.0967293948749,"['6786321690', '6786321691']",2
6,"[658.7580400394074, 182.71031946305337]",144.3737617484216,"['667357403', '667357405', '667357409', '667357412', '667357415', '667357416']",6
7,"[-272.0322305233182, 468.4682283506055]",132.15500708312442,"['667357348', '667357361', '668478124', '4348259297', '6571330021', '6571330022', '7265473766']",7
8,"[244.23865543427587, -466.27474194781365]",142.31121996334224,"['667357317', '667357318', '668699249', '5879215642', '5879215643', '6495983054', '6495983060', '6568909609', '8666700466']",9
9,"[52.16821720988956, 267.90629033997504]",133.9818843723673,"['4642960968', '5366445085', '5366445092', '5366445093']",4
10,"[-124.8883975641417, -873.9094971527591]",116.69349612618727,['668699242'],1
11,"[355.9686197334906, 723.6125869236115]",143.02614898427024,"['667357421', '668612391', '4348265098', '9169143592']",4
12,"[451.2117615070295, -497.4570093242258]",143.30667414861637,"['667357368', '668685375', '668699249', '5879215642', '5879215643']",5
13,"[-641.6312879625681, 281.591971344949]",131.3482479328816,"['2081722939', '4348259319', '4348259324', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",8
14,"[431.61544758084295, 286.25006630801346]",140.34213554606646,"['667357367', '668620092', '4348259327', '4348259328', '4369058864', '5882320075', '7147944044', '7147944046']",8
15,"[385.0983803000223, 131.03030373652126]",136.274182450634,"['667357352', '668620092', '2055461156', '4369058864', '6785961658', '7147944038', '7147944044', '7147944046']",8
16,"[-394.9260874720911, 293.3740547435466]",131.5468993493261,"['5280437313', '5280437314', '5280438428', '6571330023']",4
17,"[631.6047090052043, 429.4290855803719]",144.7783132653446,"['667357419', '4348259325', '4348259327', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '7265460758', '9169143586']",12
18,"[270.1350040934953, -45.54009711398836]",139.03987487956084,"['668672700', '3215340463', '5077600694', '6568909595', '7147944038']",5
19,"[663.7311417780388, -312.5623717314939]",147.02793556865967,"['667357383', '667357387', '668685380', '8675266535']",4
20,"[105.64966385773816, 22.03784900883633]",136.27746959337904,"['668672700', '6583550560', '6583550562']",3
22,"[517.1299003761325, 10.869734665904474]",135.12004873071825,"['667357352', '667357407', '6785961623', '6785961658']",4
23,"[244.27728772973273, 217.00421692367075]",132.03917873728082,"['668620092', '5366445082', '5366445083', '7147944044', '7147944046']",5
24,"[632.3265491368882, -559.8677541474611]",145.8146188430732,"['668660560', '668685375', '5879215623', '5879215625', '5879215634']",5
25,"[-238.12803278387418, -774.928804627767]",122.35104019379041,"['668699188', '668699193', '668699199']",3
26,"[-174.53591823129594, 278.32895327825327]",132.53580654189582,"['245674992', '668478124', '668672574', '668672699', '4348259294', '4348259295']",6
27,"[401.7550826346291, -337.2368025745484]",142.60846741026143,"['667357325', '667357382', '667357385', '5366445105', '6568909593', '6568909594', '8666700466']",7
28,"[190.41303789662882, -619.7965062056115]",136.0280861527536,"['6495983054', '6495983060']",2
29,"[178.69700972664162, -215.5527920690432]",141.00342972946942,"['667357326', '6568909593', '6573854574']",3
30,"[418.17512630958373, 521.3363067413213]",142.5139411663038,"['667357421', '668612331', '1990860599', '1990860600', '4348259325', '4348259329', '4348259330', '4348259331', '4348265099', '6573701524']",10
31,"[288.84976258479435, -779.5220069652112]",127.3003317139248,"['667357309', '667357310', '668660548', '5879215650', '6627410440', '6627410442']",6
32,"[403.0268326398056, -698.6150382233704]",139.81290336426142,"['667357309', '667357310', '667357311', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650']",9
33,"[-37.245750678930236, 475.77744903142684]",134.56538504954065,"['667357348', '667357359', '667357361', '4348259298', '5366445091']",5
34,"[458.8395761263673, -184.20539476860014]",144.57962274060714,"['3215340463', '3215340464']",2
35,"[156.81629622988717, 596.2081602506532]",138.7612954084419,"['4348265098', '4348265101', '4348265105', '4348265107', '6573701501', '6573701505']",6
