,location,Radius,covered_nodes,Total_nodes_covered
0,"[96.09678044125269, -971.3757650368588]",194.37116704664305,"['65510924', '65556602', '65556603', '287476202', '287476363', '354739993', '354739994', '354739997', '354740008', '354740028', '847467170', '956656225', '1768361413', '1768361417', '1768361419', '1768361420', '1768361421', '1768361423', '1768361428', '1768361429', '1768361431', '1782352092', '1782352093', '1782352094', '1782352096', '1782352097', '1782352099', '1782352104', '2572379152', '2572379155', '2572379167', '2572379170', '2572379173', '2572379174', '2572379176', '2572379179', '5060846154', '5941921912', '5941921916', '6331490369', '6331490370', '7058931002', '7058931007', '7058931013', '7058931014', '7058931017', '8910620815']",47
1,"[1275.1943209520196, -146.37285764047712]",182.88942579291796,"['65566622', '4912961659', '4912961668', '4912961669', '4912961671', '4912961672', '4912961673', '4912961678', '4912961680', '4912961681', '4912961682', '4912961683', '4912961685', '4912961686', '4912961687', '6107055087', '6108013635', '6108013638', '6292240725', '6292251810', '6292251811', '6293420761', '7730973334', '8221843041', '9384053316', '9384055059', '9384055070']",27
2,"[-1158.7188795693623, -86.39817933538158]",210.5014069330164,"['65422311', '65565057', '65565059', '65659940', '287472249', '287472352', '427841292', '689473424', '1120952293', '1330035316', '2574077067', '2574077091', '2574077092', '2574077094', '2574077095', '2574077096', '3457085620', '3457085622', '3457085624', '3457085625', '3457085629', '3457085631', '3457085635', '3457085639', '3701906640', '4295590253', '4295590254', '4295590260', '4295590299', '4913257375', '4913257377', '4913257378', '4913257380', '4913257382', '4913257383', '4913257385', '6309355164', '6317078810', '6317078813', '6317078901', '6317096750', '6317111940', '6319242294', '6481408438', '6481408441', '6481599058', '7131526985', '7131526986', '7131527011', '8249775214', '8410920095', '8410920098', '8410920100', '8410920108', '8410920112', '9561828293']",56
3,"[221.79383828194577, 293.8225448820598]",199.10956759398996,"['65427082', '65427084', '65562618', '65562620', '65562622', '65682573', '288023791', '338518144', '518816371', '518816373', '518816383', '518816912', '518816913', '522173590', '522173601', '689485461', '2572526618', '2572526625', '2572526631', '2572526644', '3752867386', '3752867387', '3752869382', '4886811641', '6306972823', '6306972824', '6407657036', '7882821206']",28
4,"[603.2739177484101, -731.4361373215864]",174.34897857322292,"['65511122', '65511125', '65539580', '65539585', '65675373', '256558437', '256558438', '256568832', '287480632', '340333103', '340333268', '340333270', '354801007', '518824010', '2571160874', '2571160876', '2572379131', '2674894492', '3316594110', '3404860831', '3404860832', '3404860835', '4742673737', '5555812015', '5555999888', '6212884661', '6917973013', '6917973014']",28
5,"[109.20360458102179, 1.7051037136290716]",183.36660369853746,"['65427080', '65427081', '65473412', '65644363', '275515717', '340316006', '354784526', '354785189', '847423929', '3752867384', '4295505299', '6239344442', '6476777592', '6574133571', '6574133573', '6574133574', '8931150858']",17
6,"[-339.7356935951805, -482.19847104300493]",184.6441514230758,"['65501977', '65598519', '65658657', '314065986', '340334520', '462443355', '952997670', '2217384955', '4933019562', '5206902981', '5555953376', '5933366061', '5977401633']",13
7,"[-504.26481758118945, -617.611523190442]",180.3130185350107,"['65511794', '314065986', '1782361535', '1782361541', '3406414995', '3406437901', '3406437902', '3406437906', '3406437907', '4630676974', '5555953376', '5933366061', '5977401633', '8519693248', '8519693249', '8519693252']",16
8,"[-576.4991061954762, 720.5856931243757]",201.5673594974219,"['314070304', '1758054026', '1758054044', '1758054068', '2048603388', '2048603397', '2393501800', '2393501810', '2393501811', '3317804537', '3317804541', '3317804545', '3695987107', '3695987108', '3695987109', '3695987110', '3695987111', '3695987117', '3695987727', '3695987729', '3695987731', '3695987732', '3695987733', '4913255757', '4913255762', '4913255765', '4913255766', '4913255770', '4913255779', '4913255784', '4913255786', '4913255800', '4913255801', '4913255802', '4913255803', '4913255806', '4913255807', '4913255808', '4913255809', '5209076490', '6575641447', '6575641449', '6575641456', '7183318053', '7183318060', '7204627936', '7204627937', '7256905117', '7256905127', '7295363007', '7295363008', '7295363009', '7295363010', '7295363011', '7295369836']",55
9,"[461.103667510381, -163.34312108986828]",188.29360351992133,"['65473421', '275515667', '612018100', '1256091855', '1256091856', '1330035211', '2572379134', '2572379135', '2572379138', '5774153155', '5774153157', '5774153159', '5852624909', '5852624910']",14
10,"[-381.39564412404087, -140.57652025445802]",190.03526864272013,"['65461960', '65682762', '65682860', '275516062', '340331999', '522263721', '689476111', '1707961571', '1758054039', '1758054040', '2054042522', '3124723316', '3124723319', '3124723320', '3124723321', '5555953354', '5555953355', '5555953356', '6332452080', '6332452082', '6502805184', '7895480706', '7895480707', '9898608896', '9898608898']",25
11,"[278.3786203294631, 1056.341769145946]",251.41360633552333,"['65384635', '65384636', '65476295', '65476297', '65546898', '65562625', '262235786', '288024410', '305587317', '518814468', '518814480', '518814481', '522258539', '621397382', '621397383', '689494384', '689494429', '689494888', '689494891', '689495069', '689504503', '956661154', '1113685149', '1429242823', '1429242827', '3316594148', '3316594151', '3316594152', '3316594156', '3316594158', '3316594159', '3316594160', '3316594461', '3316594462', '3316594463', '4820803735', '4913255749', '4913255751', '6381968937', '6381968941', '6382001617', '6382004325', '6814758767', '7933542086']",44
12,"[951.889824916996, 417.5873729342353]",203.33162871898168,"['65543380', '65586584', '287481892', '847469490', '847469519', '2572535774', '2572535780', '5512507921', '5553784626', '7129243097', '7129243104', '7129243105', '7129243106', '7129243111', '7129243112', '7129243113', '7129243118', '7129243119', '7129243121', '7129243122', '7129243127', '7129243138']",22
13,"[289.34376708076053, -412.7757844518589]",185.974757653658,"['65543924', '256568484', '281870455', '340332218', '340332219', '340332226', '340332231', '612018100', '4742742402', '4742742412', '4742742414', '4742742417', '4742742420', '4742742422', '4742742423', '4972966753', '5555811978', '5555811982', '5555811986', '5555811987']",20
14,"[-397.1040459363817, 246.63943045284898]",194.75634625341033,"['65545431', '65545441', '65644358', '65644370', '314071067', '314071075', '2733190240', '4913257344', '4913257345', '4913257350', '7040829869']",11
15,"[-136.7071613428709, 0.2993424834600451]",191.3964768483449,"['65644363', '65682762', '256568638', '689476111', '3210187960', '6239344432', '6574133571', '6574133573', '6574133574', '8931150858', '9898608896', '9898608898', '9930620471']",13
16,"[852.7018632625987, -510.2766437964284]",175.9688887978833,"['65556645', '65662175', '65675375', '2572379124', '2572379130', '2572379131', '3088430466', '5771900430', '5852624893', '5852624896', '5852624901', '5852624903', '5852624908', '5852676327', '5852676328', '6169889325', '6169889327', '6169889331', '6917873753', '7324331499', '9383029288', '9384053269', '9384053270', '10089365231', '10089365233', '10089365236', '10089365237', '10182457693']",28
17,"[-812.6285820805927, 56.42341231508288]",208.94856439953963,"['65559188', '65559198', '65559205', '65559212', '65598495', '65665828', '65683555', '427841291', '689471609', '689471688', '689475473', '2572526524', '2572526539', '2572526541', '2572526550', '2574077047', '2574077049', '2574077050', '2574077053', '2574077054', '2574077057', '2574077059', '2574077061', '2574077065', '2574077068', '2574077070', '2574077071', '2574077074', '2574077075', '2574077076', '2574077077', '2574077078', '2574077079', '2574077081', '2574077082', '2574077083', '2574077084', '2574077098', '2986710320', '2986710323', '4913257358', '4913257361', '4913257363', '4913257368', '4913257369', '5714340736', '5714340749', '6309353852', '6460227540', '7131526996', '7131527005', '7131527010', '7941128443']",53
18,"[521.7638871178201, -521.5458901665875]",180.01376407277843,"['65392047', '65539585', '65539592', '256558437', '256558468', '256568832', '340332218', '340332219', '340332226', '340332231', '340332240', '340333268', '354801007', '2572379123', '3404860831', '3404860832', '3404860835', '5417696255', '5555812015', '5555999888', '6212884661', '6332176273']",22
19,"[500.6615614896991, 816.8806414267577]",218.15007872793646,"['65546898', '288024410', '518814468', '518814480', '518814481', '4820803735', '6308631178', '6352452138', '7849178193', '7849178195', '7849178198', '7849178201', '7849178209', '7933542086', '8910447826']",15
20,"[-710.769975360288, 412.4992652963433]",200.5508954229174,"['65545427', '65545441', '65545447', '1330035207', '1330035214', '1330035254', '1330035391', '1758054032', '2733190239', '2733190240', '2733190241', '2733190242', '3317804545', '3695987107', '3695987108', '3987158751', '3987158754', '3987158755', '3987161663', '4178848061', '6880867878', '6880898089', '7078764336', '7078764373', '7078764375', '7256905117', '7256905125', '7256905127', '7295363005', '7295363006', '7870980838', '7941128442', '7941128443']",33
21,"[-982.431646443615, -318.77186386411034]",219.30702506961012,"['65422311', '65525278', '65559217', '65565059', '65565064', '65658619', '258983100', '689471609', '2674894514', '4178848053', '4295590234', '4295590236', '4295590238', '4295590239', '4295590241', '4295590242', '4295590244', '4295590245', '4295590247', '4295590253', '4295590254', '4295590255', '4295590256', '4295590257', '4295590258', '4295590259', '4295590260', '4295590272', '4295590273', '4295590274', '4295590288', '4295590289', '4295590297', '4295590299', '4295590306', '4295590310', '4295590318', '6282025812', '6309353852', '6459925093', '6474223251', '6474223254', '6474223256']",43
22,"[-163.62237772483695, -723.7166216773412]",196.3560132176496,"['65458552', '65480714', '65501977', '65658657', '256566598', '256566603', '256566748', '288005601', '288005655', '314066692', '956657986', '1768361415', '1768361416', '1768361418', '1768361419', '1768361420', '1768361423', '1768361425', '1768361426', '1768361427', '1768361431', '1782352092', '1782352102', '1782352105', '4913257332', '4913257333', '4913257335', '4913257336', '4913257337', '4913257338', '5060846130', '5060846131', '5060846132', '5060846133', '5060846134', '6294392310', '6294627081']",37
23,"[682.905747471623, -297.6836125539661]",180.55824121548432,"['65392047', '354802071', '1330035197', '1330035211', '1757902279', '1758004045', '1758004047', '1758004054', '5771900430', '5852624903', '5852624908', '6608996257', '6608996259', '10089365237']",14
24,"[-979.5884711768815, -768.5313687980713]",235.88346474070235,"['65528782', '314049419', '314054343', '314055903', '1120952220', '1120952244', '1120952248', '1120952283', '1120952292', '1120952295', '1120952305', '1120952335', '1120952343', '1120952374', '1120952408', '1782366277', '1873984476', '5053148981', '5262835093', '5262835095', '5262835096', '6282025811', '6459925109', '6492931198']",24
25,"[772.5730909888555, -790.1398466096247]",171.69582308906104,"['65556629', '65556654', '65556664', '65675373', '65675375', '256568846', '287480632', '287980668', '340333270', '518824010', '689534772', '2571160864', '2571160870', '2571160871', '2571160872', '2571160873', '2571160874', '2571160875', '2571160876', '2571160880', '2674894492', '2674894509', '3088430466', '3088430470', '3088430472', '3088430474', '3088430476', '3316594110', '4192544209', '4192544212', '4192544218', '4192547123', '4192547124', '4192548279', '4192548281', '4192548285', '6212885401']",37
26,"[-254.6543489104338, 749.0109355250495]",202.7739745142851,"['314070873', '522262600', '522262630', '847439433', '1111928975', '1111929038', '1111929066', '1111929069', '1111929081', '1111929162', '1111929178', '1111929182', '1758054068', '2393501810', '2393501814', '2572526648', '2572526650', '2572526654', '2572526655', '2572526657', '2572526659', '2572526661', '2572526663', '2572526665', '4178848063', '4178848064', '4913255757', '4913255762', '4913255766', '4913255770', '4913255790', '4913255791', '4913255792', '4913255793', '4913255796', '4913255798', '4913255799', '4913255808', '4913255809', '4913255810', '6443368814', '6443368816', '6443368819', '6443368821', '6443368824', '6443368828', '6443368830', '6575641456', '9490940700']",49
27,"[1008.9769046330867, -239.03064844108826]",183.18368842587458,"['65643858', '689489308', '689521173', '847411271', '1330035325', '1330035353', '1757902279', '2572535796', '2572535797', '2572535798', '2572535799', '2572535801', '2572535802', '2572535803', '2572535804', '2572535805', '2572535806', '2572535807', '4912961653', '4912961655', '4912961656', '4912961657', '4912961658', '4912961659', '4912961661', '4912961662', '5852624898', '5852624901', '5852676328', '5852676329', '6292251810', '6292251811', '6316668210', '6316668219', '6316668225', '6439110248', '6917873746', '6917873748', '8221843046', '8221843047', '8221843048', '8221843062', '8221843065', '8221843068', '8221843072', '8910620621', '8910620857', '8910620858', '8910620861', '9383029288', '9384053251', '9384053252', '9384053253', '9384053269', '9384053270', '9384053286', '9384053307', '9384053310']",58
28,"[-745.5695626071922, -120.59864720505864]",203.8204303116397,"['65559188', '65559198', '65559205', '65559212', '65565064', '65565068', '65598495', '65598497', '258983100', '427841291', '689471609', '689471688', '689475473', '2054042522', '2572379209', '2572526524', '2572526529', '2572526533', '2572526535', '2572526539', '2572526541', '2572526543', '2572526548', '2572526550', '2572526552', '2572526554', '2574077059', '2574077061', '2574077083', '2574077084', '2986710323', '4913257358', '4913257361', '4913257363', '4913257368', '4913257369', '4913257374', '5714340736', '5714340749', '6309353852', '6319568651', '6319568653']",42
29,"[-68.36422020094156, 303.7501183340242]",196.4797404959083,"['65381218', '65381219', '65629821', '65644363', '65682573', '256568638', '314070856', '522263513', '689482700', '847436048', '847442370', '2572526618', '3210187960', '5326408949', '5326408950', '5326408966', '6412799444', '6412799445', '6412799450', '6412799451', '6760894087', '9913605124']",22
30,"[-500.14209337231665, 127.71752482369558]",196.69387455525944,"['65461960', '65545431', '65682860', '275516062', '1707961571', '1707961572', '1707961574', '1707961578', '1758054039', '1758054040', '2733190240', '5714340749', '7895480706', '7895480707']",14
31,"[-608.6697772652334, -383.80814670402947]",185.12596421756183,"['65525280', '65565068', '65565228', '462443355', '522263516', '522263721', '2217384936', '2411555343', '2572379209', '2572379211', '2572379212', '2572379215', '3124723319', '3406414995', '4630676974', '4675013242', '5206902980', '5555953371', '5555953376', '5555953377', '5676638013', '7848527013', '8519693248', '8519693252']",24
32,"[-105.7671075347781, -1066.629575463115]",199.7652378491548,"['65566209', '287476095', '287476202', '287476573', '287476735', '287476746', '287476747', '287476762', '354739993', '354739994', '354740008', '354740028', '847467257', '1257080792', '1257080880', '1257080968', '1768361429', '1782352092', '1782352094', '2572379173', '2572379174', '2572379176', '2572379179', '6294462811', '6294462813', '6331490369', '6331490370', '6340177051', '6407637005', '7133218464', '7928670247']",31
33,"[756.302550049426, 595.1325817202121]",207.93902128620155,"['65546899', '256568778', '256568779', '338518152', '338518155', '338518161', '338518162', '663153661', '663153663', '847469085', '847469103', '847469105', '847469108', '847469304', '847469449', '1083735850', '1434767658', '1434767660', '1434767686', '1434767708', '2923646863', '4835455171', '4886811310', '4886811315', '5691107533', '5718661819', '6113747124', '6308631172', '6308631174', '6308631178', '6308634385', '6308634386', '6308634388', '6308634392', '6541218040', '6541218042', '6541218050', '6661724382', '7129243096', '7129243097', '7129243098', '7129243103', '7849178195', '7849178209', '7849178211', '8910447826', '8910447827']",47
34,"[-346.90584302706844, 509.2051027761254]",196.44658202007892,"['65381219', '314071064', '314071067', '314071075', '314071201', '314071202', '522262600', '522262630', '522263513', '847436737', '1758054044', '2380604029', '2572526648', '2572526655', '2572526659', '2572526663', '2572526665', '4913255757', '5326408949', '5326408950', '5326408964', '5326408966', '6443368814', '6443368821', '6443368828', '6443368830', '7040829869', '7940746710', '7940746711', '7940864980']",30
35,"[-985.6725222954516, 235.23989436607383]",195.66635259846225,"['65545423', '65665821', '65665823', '65665828', '2574077047', '2574077049', '2574077050', '2574077053', '2574077054', '2574077057', '2574077068', '2574077070', '2574077071', '2574077074', '2574077075', '2574077076', '2574077077', '2574077078', '2574077079', '2574077095', '6318792955', '6460227540', '6460227542', '6460228514', '6460228519', '7131526985', '7131526986', '7131526996', '7131527005', '7131527008', '7131527009', '7131527010', '7131527011', '7131527012', '7870980838', '7870980847', '7941128442', '7941128443']",38
36,"[321.8358758623474, -769.8499238945413]",185.57127092770807,"['65511047', '65539580', '65556607', '256558438', '256558465', '256566854', '256566999', '956660455', '956660456', '2392411733', '2392411736', '2392411739', '2572379152', '2572379155', '4742673730', '4742673732', '4742673737', '5555811978', '5555812015', '6917973013', '6917973014', '7058931008', '7058931013', '7058931014', '7058931017', '8910620729']",26
37,"[-314.6730007557433, -1228.35358570977]",192.39167447621875,"['65556600', '93412379', '93412380', '287476746', '287476747', '287476762', '288214364', '522187230', '522187243', '522188960', '522188983', '522188986', '1257080792', '5215656010', '5215656012']",15
