,location,Radius,covered_nodes,Total_nodes_covered
0,"[6.037505227448122, 59.716694196007595]",159.55791022957018,"['668672700', '6583550560', '6583550562']",3
1,"[569.8624758079964, 418.27890162824787]",198.45582875038,"['667357412', '667357419', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '5882320075', '7265460758', '9169143586']",18
2,"[188.05568819462533, -18.41384473295888]",182.95473132622712,"['668672700', '5077600694', '6568909595', '6583550562', '7147944038']",5
3,"[613.9585236985738, -188.95216580936676]",178.34401915178375,"['667357387', '667357392', '668685380', '6576461331', '8675266535']",5
4,"[263.2063714558517, -513.4729883882534]",158.9834691454216,"['667357317', '667357318', '668699249', '5879215642', '5879215643', '6495983054', '6495983060', '6568909609']",8
5,"[564.2153650887464, 718.8880616661544]",191.94700272439317,"['1990860600', '4348259325', '6786321690', '6786321691']",4
6,"[292.21830901226144, -293.15047484071766]",173.77570307387307,"['667357325', '667357326', '667357382', '3215340463', '5366445105', '6568909593', '6568909594', '6568909609', '6573854574', '8666700466']",10
7,"[208.34443564932258, 554.2689751240241]",205.94211725600906,"['667357421', '668612331', '668612391', '668672704', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524']",15
8,"[352.19471121118215, -787.1666216472709]",149.408050714769,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215644', '5879215645', '5879215646', '5879215650', '6627410440', '6627410442']",11
9,"[486.5192225458746, -568.1326515279193]",164.56855751680098,"['667357311', '667357368', '668685375', '5879215641', '5879215642']",5
10,"[439.5476876465229, 714.7818255945517]",184.1732937006444,"['667357421', '668612391', '1990860599', '1990860600', '4348265098', '6786321691', '9169143592']",7
11,"[-186.8777809738929, 504.7534217474015]",212.46130847561508,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259297', '4348259298', '6571330021', '6571330022', '7265473766']",10
12,"[573.6953914925003, -423.39162305055163]",172.7151992664723,"['667357368', '667357382', '667357383', '667357385', '667357387', '668660560', '668685375', '5366445105', '5879215623', '5879215625', '5879215634']",11
13,"[727.9822242535298, 94.72500952984444]",187.3208057404736,"['667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357415', '667357416']",8
14,"[-78.11696867207765, -766.2201058931356]",128.74205894774863,['668699242'],1
15,"[116.41881384820888, -660.9111990928716]",140.6721534389833,['6495983060'],1
16,"[124.03392279588773, 325.56777328377814]",195.78275970546898,"['668672704', '4348265107', '4642960968', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650']",11
17,"[442.3908189629418, -35.37084761619049]",175.35626550808988,"['667357352', '2055461156', '3215340463', '3215340464', '5077600694', '6568909595', '6785961623', '6785961658', '7147944038']",9
18,"[-206.32541639687, 310.86660666706047]",195.75630049451357,"['245674992', '667357348', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '6571330021', '6571330022', '6571330023']",11
19,"[-434.9112638510726, 324.3333420512029]",213.39985402015355,"['4348259294', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330022', '6571330023', '7265473766']",9
20,"[402.55544842629286, 239.87606067781718]",191.4741191090252,"['667357367', '668620092', '668672704', '2055461156', '4348259327', '4348259328', '4369058864', '5366445082', '5366445083', '5882320075', '7147944044', '7147944046']",12
21,"[-237.37987597835263, -800.5596689789264]",122.18561254281897,"['668699188', '668699193', '668699199']",3
22,"[103.35401079571601, -845.5298375088721]",135.8508808139782,"['668699237', '6435688923', '6435688924', '6627410442']",4
