,location,Radius,covered_nodes,Total_nodes_covered
0,"[732.8184436484464, -54.35552241597837]",153.00417296715926,"['256568831', '354802071', '1330035197', '1758004047', '1758004048', '1758004054', '4886811680', '6350370382', '7882604630', '7882604636', '8910620627', '8910620634']",12
1,"[-109.22406358983713, 241.13187141146793]",154.5906001179753,"['65629821', '65644358', '65644363', '256568638', '314070856', '847436048', '847442370', '2572526618', '3210187960', '6412799444', '6412799445', '6412799450', '6412799451', '6760894087']",14
2,"[458.44201233270917, 54.47394564583544]",153.26674990269368,"['354735610', '689487293', '1256091856', '3994962569', '4886811670', '4891201082', '4891201083', '4891201084', '4891201085', '4891201093', '4891201112', '5993666172', '7322893435']",13
3,"[649.9748466935501, 405.98270197092165]",146.60129704148784,"['65484362', '256568778', '2572535787', '3997329598', '4886811315', '4912961823', '4912961824', '4912961826', '6477378136']",9
4,"[255.61525675906913, -853.0030517675971]",154.66297087437536,"['65510924', '65511047', '956660455', '956660456', '1782352097', '2392411733', '2392411736', '2392411739', '2572379152', '2572379155', '4742673730', '7058931008', '7058931013', '7058931014', '7058931017', '8910620729']",16
5,"[427.9490826379455, 287.3773759400605]",148.42090812615896,"['65427084', '338518144', '689487292', '3997329598', '4886811641', '4886811670', '4912961718', '4912961821', '4912961822', '4912961823', '4912961824', '4912961825', '4912961826', '4912961827', '4912961829', '4912961830', '4912961835', '4912961837', '4912961838', '4912961839', '4912961840', '7882821206']",22
6,"[-1026.6394202930805, 128.2171357521171]",156.0945406433421,"['65665821', '65665823', '2574077047', '2574077049', '2574077050', '2574077053', '2574077054', '2574077067', '2574077068', '2574077070', '2574077071', '2574077074', '2574077075', '2574077076', '2574077091', '2574077092', '2574077094', '2574077095', '2574077096', '3457085620', '3457085635', '3457085639', '6309355164', '6318792955', '6460227540', '6460228514', '7131526985', '7131526986', '7131526996', '7131527005', '7131527008', '7131527009', '7131527010', '7131527011', '7131527012']",35
7,"[-344.82633683007407, -464.0492117197016]",155.27776747428737,"['65501977', '65598519', '314065986', '340334520', '952997670', '2217384955', '4933019562', '5206902981', '5555953376', '5933366061']",10
8,"[326.1433773620333, -320.67817322183953]",153.6084480390212,"['65543924', '612018100', '5774153155']",3
9,"[-460.8162286643076, 89.84126748391617]",155.76823104343083,"['65461960', '65682860', '275516062', '1707961571', '1707961572', '1707961574', '1707961578', '1758054039', '1758054040', '7895480706', '7895480707']",11
10,"[87.6545287187053, -1092.6823812815444]",155.4559689876801,"['65556602', '65556603', '287476202', '287476363', '354739993', '354739994', '354739997', '354740008', '847467170', '847467257', '956656225', '2572379167', '2572379170', '2572379173', '2572379174', '2572379176', '7928670247']",17
11,"[-347.5032454220864, -1198.8428774999154]",156.1458739632039,"['65556600', '93412379', '93412380', '287476746', '287476747', '287476762', '288214364', '522187230', '522187243', '522188960', '522188983', '522188986', '5215656010', '5215656012']",14
12,"[-80.18628413487455, -583.1313862207061]",154.87283789828163,"['65458552', '65598519', '65658657', '256566748', '340333457', '340333584', '340333585', '4913257332', '4913257333']",9
13,"[-834.7117441073369, 346.7875114129184]",156.23219686519647,"['65545423', '65545427', '65545447', '65665828', '1330035207', '1330035214', '1330035254', '1330035391', '2574077077', '2574077079', '2733190241', '2733190242', '3987158754', '3987158755', '4178848061', '6460227540', '6460227542', '6460228519', '7078764336', '7078764375', '7295363006', '7870980838', '7870980847', '7941128442', '7941128443']",25
14,"[1021.180045792821, 417.50742850152415]",145.59292769807615,"['65543380', '847469490', '847469519', '2572535780', '5512507921', '5553784626', '7129243105', '7129243106', '7129243111', '7129243112', '7129243113', '7129243118', '7129243119', '7129243121', '7129243122', '7129243127', '7129243138']",17
15,"[422.4781925986279, -646.4343455952686]",153.71788764783017,"['65539585', '256558437', '256558438', '256558465', '256558468', '256566999', '256568832', '340332218', '340332219', '340332226', '340332231', '340332240', '340333268', '354801007', '4972966753', '5555811978', '5555811982', '5555812015', '6212884661', '6332176273', '6917973013', '6917973014']",22
16,"[232.25164243999964, 907.0034690458858]",124.66417365939667,"['288024410', '518814468', '4820803735']",3
17,"[729.0604639781064, 58.84837958990745]",146.99044712797317,"['256568831', '4886811680', '7882604630', '7882604636']",4
18,"[826.1183396219951, 616.8340597276356]",143.92882255789476,"['338518152', '1083735850', '1434767686', '1434767708', '2923646863', '4835455171', '4886811310', '5691107533', '5718661819', '6113747124', '6308634386', '6308634388', '6308634392', '6661724382', '7129243096', '7129243097', '7129243098', '7129243103', '8910447827']",19
19,"[536.007386446299, -184.53859540075746]",153.23429851317698,"['65473421', '354802071', '1256091855', '1256091856', '1330035211', '2572379134', '2572379135', '2572379138', '5774153155', '5774153157', '5774153159', '5852624909', '5852624910']",13
20,"[324.47016969209596, -6.089205959979395]",153.47766727614228,"['65427080', '65427081', '275515667', '275515717', '1256091855', '2572379135', '4295505299']",7
21,"[108.08937723578205, 117.1219878826946]",154.03429323653435,"['65473412', '65562618', '65644363', '340316006', '354784526', '354785189', '522173590', '522173601', '847423929', '2572526618', '2572526625', '2572526631', '3752867384', '3752867386', '3752867387', '6239344442', '6407657036', '6476777592', '6574133571']",19
