,location,Radius,covered_nodes,Total_nodes_covered
0,"[1467.469111917819, 128.02034508081903]",265.41641191458916,"['1515242053', '2167078769', '2167078770', '275676979', '275676982', '330654081', '330654083', '330654123', '330654139']",9
1,"[265.82108652218255, 341.49144266292257]",267.12177554681955,['330780901'],1
2,"[1093.1280113839116, 321.10090372846133]",265.9380951459801,"['2164168433', '2164168455', '2167078769', '2167078770', '2167078771', '2167078772', '275675441', '275676975', '330654038']",9
3,"[1755.3691367280976, 1693.7036983224145]",262.75720947997615,"['268789882', '268789950', '268789954', '268789961']",4
4,"[767.2198891450475, 195.10266500150811]",264.07751825001435,['3098974997'],1
5,"[1255.8788969164764, 1135.3420603097059]",257.76893813907947,"['268789875', '268789999', '268790000', '330612289', '3371735080']",5
6,"[632.3634667625995, 560.5635692815491]",267.10507100601507,['330648048'],1
7,"[988.9570546786113, 741.398920541398]",266.3476632961385,"['2166694752', '268789969', '268789971', '268789973', '268789976', '268790010', '330653353']",7
9,"[1989.6210671738784, 2138.6081430246813]",261.75310939253103,"['268789836', '268789877', '268789942', '268789959', '3248845375']",5
10,"[1459.601067478862, 832.0835062892238]",265.13827844363794,['268789875'],1
11,"[1446.3988474404619, 499.2030702692857]",265.491344545436,"['2166694724', '2166703022', '275676979', '330653384', '330654139']",5
