,location,Radius,covered_nodes,Total_nodes_covered
0,"[666.6913717266124, 707.3836631090289]",178.7260069006783,['6786321691'],1
1,"[576.7368963294984, -628.1096674576534]",158.47799938069102,"['668660560', '668685375', '5879215641', '5879215644']",4
2,"[70.54251838423079, 538.8486382872798]",140.72745737880373,"['4348265105', '4348265107', '5366445091', '6573701501', '6573701505']",5
3,"[378.68041262298425, -153.05435606223074]",180.7460874216006,"['667357352', '3215340463', '3215340464', '5077600694', '6568909593', '6568909594', '6568909595', '6573854574', '6785961658']",9
4,"[709.5351494354097, -179.29055740971216]",194.16858706186838,"['667357383', '667357392', '667357401', '668685380', '6576461331', '8675266535']",6
5,"[218.62008457146916, 523.6120334238441]",143.59974125664488,"['668612331', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '6573701501', '6573701524']",8
6,"[156.85134865952793, -252.4645674725603]",178.19064850138764,"['667357326', '6568909593', '6573854574', '8666700466']",4
7,"[99.66170292586408, -862.9611361496737]",129.11743664522209,"['668699237', '6435688923', '6435688924']",3
8,"[732.2704349865819, 208.1960867380974]",181.6195400993607,"['667357403', '667357405', '667357409', '667357412', '667357415', '667357416', '4348259340']",7
9,"[232.08451925829286, -753.8797599487007]",171.97813054877352,"['667357309', '667357310', '667357311', '668699237', '6435688924', '6495983060', '6627410440', '6627410442']",8
10,"[-44.466009100354015, -56.82698200582374]",175.62766820264162,"['6583550560', '6583550562']",2
11,"[42.52379952459115, 603.5563704807963]",165.06404075208317,"['667357359', '4348265105', '4348265107', '6573701501', '6573701505']",5
12,"[85.3020857873181, 63.660090955802566]",189.98272147430336,"['668672700', '5366445083', '6583550560', '6583550562']",4
13,"[247.3719617056425, 267.41869005816244]",148.8965534230867,"['667357367', '668620092', '668672704', '4642960968', '5366445082', '5366445083', '5366445085', '5584937649', '5584937650', '7147944044', '7147944046']",11
14,"[261.6167552896441, -499.5340315604517]",172.55366213237232,"['667357317', '667357318', '667357325', '668699249', '5879215642', '5879215643', '6495983054', '6495983060', '6568909609', '8666700466']",10
15,"[-244.86382373329252, -887.4396145516075]",141.33563312307803,"['668699188', '668699193']",2
16,"[446.4233817043381, 386.8265409570684]",166.02375310108624,"['667357367', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259334', '5882320075']",9
17,"[393.37319478681616, 99.72922956259607]",187.7153748691491,"['667357352', '668620092', '2055461156', '4369058864', '5077600694', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046']",10
18,"[442.077186823629, -352.8167924147613]",167.99257132343055,"['667357325', '667357368', '667357382', '667357385', '668699249', '5366445105', '5879215642', '6568909594', '8666700466']",9
19,"[-267.49467284163217, 205.55591067186188]",204.4190349906953,"['245674992', '668672574', '4348259294', '4348259295', '5280437313', '5280437314', '6571330022', '6571330023']",8
20,"[632.8932970292135, 50.94759231859482]",185.72549383769518,"['667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357415', '6576461331', '6785961623']",9
21,"[421.87782705650267, 619.5245484770977]",149.790193030744,"['667357421', '668612331', '1990860599', '1990860600', '4348259325', '4348259329', '4348265099']",7
22,"[640.298457334146, 432.15944709032755]",170.1070524219294,"['667357419', '4348259325', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '7265460758', '9169143586']",14
23,"[485.76655416867675, 917.650318100676]",179.7637821541907,"['6786321690', '6786321691', '9169143592']",3
24,"[-70.86575161503069, -856.7612219164697]",132.9906807170043,['668699242'],1
25,"[-325.08901502469223, -830.4647561691212]",149.37153558621006,"['668699188', '668699193', '668699199']",3
26,"[639.9570726082318, -468.48437997153576]",183.7200643020602,"['667357383', '667357385', '667357387', '668660560', '668685375', '5879215623', '5879215625', '5879215634']",8
27,"[-191.00704964774195, 401.4010221916251]",209.3770335747056,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '6571330021', '6571330022', '7265473766']",12
28,"[273.45958468465153, 778.811904702796]",153.91324778107912,"['668612391', '4348265098', '9169143592']",3
29,"[-619.7817074298355, 312.7571336097758]",229.2627780786607,"['2081722939', '4348259319', '4348259324', '5280437314', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",10
30,"[402.02397021789307, -725.263506092961]",173.0091464714989,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650', '6627410440']",11
31,"[107.31035855715163, 277.14677005726844]",161.236938421555,"['4642960968', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650']",9
